epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.95388,0,18.8227,0,0,0,0,0,0,14.1543,0,0,0,0
2,9.84678,0,18.8409,0,0,0,0,0,0,14.1624,0,1.802e-05,1.802e-05,1.802e-05
3,19.4956,0,18.7323,0,0,0,0,0,0,14.1682,0,3.208e-05,3.208e-05,3.208e-05
4,23.4065,0,18.6464,0,0,0,0,0,0,14.1739,0,4.218e-05,4.218e-05,4.218e-05
5,27.4655,0,18.5214,0,0,0,0,0,0,14.1774,0,4.832e-05,4.832e-05,4.832e-05
6,31.8616,0,18.4561,0,0,0,0,0,0,14.1789,0,5.05e-05,5.05e-05,5.05e-05
7,36.8536,0,18.3446,0,0,0,0,0,0,14.1778,0,4.872e-05,4.872e-05,4.872e-05
8,41.9468,0,18.3506,0,0,0,0,0,0,14.177,0,4.298e-05,4.298e-05,4.298e-05
9,47.0006,0,18.2296,0,0,0,0,0,0,14.1775,0,3.328e-05,3.328e-05,3.328e-05
10,52.3261,0,18.1806,0,0,0,0,0,0,14.1796,0,1.962e-05,1.962e-05,1.962e-05
