epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.92727,0,6.25936,0,0,0,0,0,0,7.08506,0,4e-05,4e-05,4e-05
2,8.52229,0,6.19504,0,0,0,0,0,0,7.09285,0,9.01e-05,9.01e-05,9.01e-05
3,12.0889,0,6.11488,0,0,0,0,0,0,7.09283,0,0.00012832,0.00012832,0.00012832
4,15.4929,0,6.06737,0,0,0,0,0,0,7.08884,0,0.00015466,0.00015466,0.00015466
5,18.947,0,6.03645,0,0,0,0,0,0,7.08526,0,0.00016912,0.00016912,0.00016912
6,22.4533,0,5.97226,0,0,0,0,0,0,7.08033,0,0.0001717,0.0001717,0.0001717
7,29.8611,0,5.94546,0,0,0,0,0,0,7.07001,0,0.0001624,0.0001624,0.0001624
8,34.6556,0,5.89085,0,0,0,0,0,0,7.05942,0,0.00014122,0.00014122,0.00014122
9,39.2053,0,5.84037,0,0,0,0,0,0,7.05942,0,0.00010816,0.00010816,0.00010816
10,43.2311,0,5.83311,0,0,0,0,0,0,7.05511,0,6.322e-05,6.322e-05,6.322e-05
